location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Sarjapur  Road,2497.0,3,2,140.0,3,5606.73
Kengeri,1540.0,2,3,64.0,3,4155.84
Thanisandra,1436.0,3,1,74.75,3,5205.43
Malleshwaram,1100.0,2,2,75.0,2,6818.18
Thanisandra,1427.0,3,2,120.0,3,8409.25
Akshaya Nagar,2061.0,3,1,200.0,3,9704.03
Hebbal,5611.5,4,0,477.0,4,8500.4
Shampura,2650.0,4,2,150.0,4,5660.38
Devanahalli,1282.0,2,2,68.52,3,5344.77
Kadugodi,1050.0,2,1,34.0,2,3238.1
LB Shastri Nagar,1600.0,3,2,65.0,3,4062.5
Other,945.0,2,1,54.0,2,5714.29
Hormavu,1500.0,2,1,78.0,2,5200.0
Other,1870.0,3,3,110.0,3,5882.35
Sarjapur,1600.0,3,1,75.0,3,4687.5
Electronic City,880.0,1,1,16.5,2,1875.0
Other,1200.0,4,0,210.0,4,17500.0
Kudlu Gate,1535.0,3,2,83.0,3,5407.17
Kanakpura Road,950.0,2,1,57.0,2,6000.0
Devanahalli,1360.0,2,1,65.0,2,4779.41
8th Phase JP Nagar,1073.5,2,0,54.005,2,5030.74
Bommasandra Industrial Area,1280.0,3,1,50.4,3,3937.5
Other,1260.0,2,2,85.05,3,6750.0
Hennur Road,5000.0,8,2,250.0,8,5000.0
Yelahanka,3050.0,5,1,213.0,5,6983.61
Kasavanhalli,1563.05,3,1,105.0,3,6717.64
ISRO Layout,1000.0,2,1,60.0,2,6000.0
Anandapura,1167.0,2,1,43.76,2,3749.79
Vishveshwarya Layout,4000.0,7,2,225.0,7,5625.0
Kothanur,1828.0,3,2,110.0,3,6017.51
Kengeri Satellite Town,890.0,2,1,35.0,2,3932.58
Other,1612.0,3,3,46.74,3,2899.5
Mysore Road,1710.0,4,2,91.31,3,5339.77
Kannamangala,957.0,2,1,58.0,2,6060.61
Devarachikkanahalli,1250.0,2,3,44.0,3,3520.0
Other,2795.0,4,2,235.0,3,8407.87
Hulimavu,1125.0,2,2,50.0,2,4444.44
Electronic City Phase II,1020.0,2,1,30.6,2,3000.0
Kalena Agrahara,1200.0,2,2,50.0,2,4166.67
Thanisandra,1735.0,3,3,135.0,3,7780.98
Thanisandra,2050.0,3,1,145.0,3,7073.17
Mahalakshmi Layout,3750.0,4,0,760.0,4,20266.67
Other,1350.0,2,3,48.0,3,3555.56
Hosa Road,1063.0,2,1,32.0,2,3010.35
Other,1904.0,3,1,150.0,3,7878.15
Whitefield,4200.0,4,2,420.0,4,10000.0
Other,2000.0,3,1,175.0,3,8750.0
Sarjapur,1242.5,2,0,43.49,2,3500.2
Other,1425.0,2,2,75.0,3,5263.16
Electronic City,1500.0,2,1,64.5,3,4300.0
Electronic City,1060.0,2,1,60.0,2,5660.38
Other,1470.0,2,2,70.0,3,4761.9
Attibele,450.0,1,1,11.0,1,2444.44
Electronic City,1152.0,2,1,64.5,2,5598.96
Electronic City,1350.0,2,1,56.0,3,4148.15
CV Raman Nagar,1550.0,3,3,65.0,3,4193.55
Other,1500.0,3,2,100.0,3,6666.67
Nagavara,400.0,1,0,14.0,1,3500.0
Malleshwaram,705.0,1,2,67.0,1,9503.55
Electronic City,770.0,1,1,36.0,2,4675.32
Hulimavu,1242.0,2,3,51.0,2,4106.28
Hebbal Kempapura,1700.0,3,2,155.0,3,9117.65
Thanisandra,2144.0,3,2,145.0,3,6763.06
Vijayanagar,1704.0,3,2,110.0,3,6455.4
Electronic City,1070.0,2,1,52.0,2,4859.81
Other,1846.0,3,2,300.0,3,16251.35
Other,1340.0,2,2,55.7,2,4156.72
Electronic City,1025.0,2,1,46.0,2,4487.8
KR Puram,1277.5,2,0,56.8,2,4446.18
Marathahalli,1200.0,2,2,52.0,2,4333.33
Kanakpura Road,2250.0,4,1,110.0,4,4888.89
Pattandur Agrahara,1550.0,2,3,80.0,3,5161.29
Bellandur,1200.0,5,2,325.0,4,27083.33
Marathahalli,1200.0,2,2,60.0,2,5000.0
Yelahanka,1327.0,2,2,98.0,2,7385.08
Kothanur,1186.0,2,2,58.0,2,4890.39
Other,1783.0,3,1,115.0,3,6449.8
HSR Layout,1400.0,3,2,56.0,3,4000.0
Nagasandra,980.0,2,1,48.0,2,4897.96
EPIP Zone,1285.0,2,2,82.0,2,6381.32
Other,912.0,2,1,70.0,3,7675.44
Whitefield,1225.0,2,2,47.6,2,3885.71
Whitefield,1075.0,2,1,53.0,2,4930.23
Kadugodi,1260.0,2,2,54.0,3,4285.71
Yelahanka,1282.0,2,2,48.7,3,3798.75
Kogilu,1909.0,3,2,88.0,3,4609.74
Panathur,1359.0,2,1,87.0,2,6401.77
Other,1207.0,2,2,43.5,2,3603.98
1st Block Jayanagar,2850.0,4,1,428.0,4,15017.54
Kammasandra,1595.0,3,2,65.0,3,4075.24
Other,1798.0,3,2,89.0,3,4949.94
Electronics City Phase 1,1475.0,3,2,78.29,3,5307.8
Other,1580.0,3,3,100.0,3,6329.11
Dasarahalli,1295.0,2,1,65.0,2,5019.31
Magadi Road,3600.0,6,0,141.0,6,3916.67
Electronic City,589.0,1,1,27.0,1,4584.04
Other,1415.0,3,3,78.0,3,5512.37
Sarjapur  Road,1787.0,3,2,98.29,3,5500.28
Sarjapur  Road,1787.0,3,2,125.0,3,6994.96
Koramangala,1475.0,2,3,90.0,3,6101.69
Other,2000.0,4,1,75.5,4,3775.0
Sarjapur  Road,984.0,2,1,44.28,2,4500.0
Devanahalli,1630.0,2,2,74.82,3,4590.18
Other,2405.0,4,2,260.0,3,10810.81
7th Phase JP Nagar,1080.0,2,2,72.0,2,6666.67
Other,1500.0,2,1,115.0,2,7666.67
Hebbal,1900.0,3,2,119.0,3,6263.16
Dommasandra,805.0,2,1,22.14,2,2750.31
Budigere,1153.0,2,2,56.4,2,4891.59
Other,1148.0,2,2,60.0,2,5226.48
Other,1110.0,2,2,55.0,2,4954.95
Electronic City,1100.0,2,2,42.0,2,3818.18
Kalyan nagar,1290.0,2,2,110.0,2,8527.13
Other,1500.0,2,1,65.0,3,4333.33
Other,1080.0,2,2,39.0,2,3611.11
Vijayanagar,1933.0,3,1,129.0,3,6673.56
Ramamurthy Nagar,3500.0,5,2,150.0,5,4285.71
Other,1060.0,2,2,60.0,2,5660.38
Chandapura,645.0,1,1,16.45,1,2550.39
Other,2600.0,8,2,180.0,8,6923.08
Chandapura,645.0,1,1,16.45,1,2550.39
Other,1644.0,3,3,84.0,3,5109.49
Other,1285.0,2,3,72.5,2,5642.02
Electronic City,1200.0,3,1,90.0,3,7500.0
Electronic City,910.0,2,1,40.0,2,4395.6
Kothanur,1577.0,3,1,70.0,3,4438.81
Other,4050.0,3,2,280.0,3,6913.58
OMBR Layout,2420.0,3,2,185.0,3,7644.63
Chandapura,800.0,1,1,20.0,2,2500.0
Other,1060.0,2,2,55.0,2,5188.68
7th Phase JP Nagar,1270.0,2,2,93.0,2,7322.83
Other,900.0,2,2,22.5,2,2500.0
Other,1280.0,2,1,69.0,2,5390.62
Horamavu Agara,1200.0,2,0,95.0,4,7916.67
Sarjapur  Road,1025.0,2,2,36.0,2,3512.2
Electronic City,1108.0,2,1,63.0,2,5685.92
Other,3045.0,3,2,170.0,3,5582.92
Ambedkar Nagar,2900.0,3,2,300.0,4,10344.83
Vijayanagar,1500.0,3,2,75.5,3,5033.33
Raja Rajeshwari Nagar,1295.0,2,2,43.9,2,3389.96
Budigere,1162.0,2,1,59.9,2,5154.91
Sarjapur  Road,1035.0,2,2,49.2,2,4753.62
Attibele,1600.0,4,0,52.8,4,3300.0
Other,1464.0,3,2,46.0,3,3142.08
Hennur Road,1866.0,2,2,61.58,3,3300.11
Other,700.0,1,1,26.0,2,3714.29
Kalena Agrahara,1804.0,3,2,120.0,3,6651.88
Sarjapur,913.0,2,1,32.0,2,3504.93
Talaghattapura,1868.0,3,2,131.0,3,7012.85
Kengeri Satellite Town,883.0,2,1,45.0,2,5096.26
Other,900.0,2,1,110.0,2,12222.22
Kogilu,1664.0,2,3,73.95,3,4444.11
Hegde Nagar,2026.0,3,2,132.0,3,6515.3
Balagere,1210.0,2,1,80.9,2,6685.95
Other,4111.0,4,2,250.0,4,6081.25
Kadugodi,1762.0,3,3,91.45,3,5190.12
Jigani,1252.0,3,3,55.0,3,4392.97
Gollarapalya Hosahalli,861.0,2,1,34.5,2,4006.97
7th Phase JP Nagar,1420.0,2,1,100.0,3,7042.25
Electronics City Phase 1,1490.0,3,1,78.8,3,5288.59
Bisuvanahalli,1075.0,2,1,46.0,3,4279.07
Old Madras Road,1425.0,2,2,94.0,3,6596.49
Kalena Agrahara,1200.0,2,1,40.0,2,3333.33
Kaggadasapura,1280.0,2,2,56.0,3,4375.0
Other,1084.0,2,2,50.0,2,4612.55
Chandapura,1015.0,2,2,25.88,2,2549.75
Kanakpura Road,1017.0,2,1,51.25,2,5039.33
Haralur Road,1027.0,2,2,44.0,2,4284.32
Electronic City Phase II,1069.0,2,2,45.0,2,4209.54
Hebbal,1349.0,2,1,98.2,2,7279.47
9th Phase JP Nagar,1005.0,2,1,50.0,2,4975.12
Jakkur,1417.0,2,3,75.0,2,5292.87
TC Palaya,1475.0,3,1,98.0,3,6644.07
Other,950.0,2,2,47.0,2,4947.37
Other,2000.0,4,0,120.0,4,6000.0
Sarjapur  Road,1863.0,3,2,104.0,4,5582.39
Singasandra,1010.0,2,1,29.5,2,2920.79
Kalena Agrahara,1425.0,2,1,70.0,3,4912.28
Vijayanagar,1450.0,3,0,100.0,3,6896.55
Kothanur,1847.0,3,2,105.0,3,5684.89
AECS Layout,1100.0,2,3,45.0,2,4090.91
Kanakpura Road,525.0,1,1,26.0,1,4952.38
Mallasandra,1665.0,3,2,95.0,3,5705.71
Begur,1664.0,4,3,65.0,4,3906.25
JP Nagar,1850.0,3,3,150.0,3,8108.11
Panathur,1438.0,2,3,100.0,2,6954.1
Other,1560.0,3,3,115.0,3,7371.79
Yelahanka,1350.0,2,1,55.55,2,4114.81
Kanakpura Road,1550.0,3,3,67.0,3,4322.58
Malleshpalya,1140.0,2,2,46.5,2,4078.95
Other,850.0,2,2,27.0,2,3176.47
Whitefield,1280.0,2,2,75.0,2,5859.38
Munnekollal,1170.0,2,2,52.0,2,4444.44
Other,1113.0,2,1,51.0,2,4582.21
Hennur Road,1385.0,2,1,83.09,2,5999.28
Electronic City,1128.0,2,1,65.0,2,5762.41
Marathahalli,1200.0,2,2,128.0,2,10666.67
Other,1200.0,4,3,165.0,4,13750.0
Rajaji Nagar,2390.0,3,2,415.0,3,17364.02
Giri Nagar,2400.0,4,1,400.0,4,16666.67
Haralur Road,1464.0,3,2,56.0,3,3825.14
Other,1200.0,2,2,55.0,2,4583.33
Kaval Byrasandra,1200.0,2,2,52.0,2,4333.33
Kaggalipura,1150.0,2,1,55.0,3,4782.61
Other,1645.0,3,2,95.0,3,5775.08
Sarjapur  Road,1000.0,2,1,67.0,2,6700.0
Haralur Road,2650.0,4,2,198.0,4,7471.7
6th Phase JP Nagar,1192.0,2,2,74.0,2,6208.05
Ulsoor,2135.0,3,2,215.0,3,10070.26
Whitefield,1173.0,2,1,58.0,2,4944.59
Uttarahalli,1020.0,2,2,45.0,2,4411.76
Somasundara Palya,1600.0,3,3,64.0,3,4000.0
Other,1200.0,2,0,79.0,2,6583.33
Other,1230.0,2,3,48.0,2,3902.44
Devarachikkanahalli,1250.0,2,2,40.0,2,3200.0
Kalena Agrahara,1325.0,2,2,76.0,2,5735.85
7th Phase JP Nagar,1850.0,3,1,150.0,3,8108.11
Kanakpura Road,525.0,2,2,21.53,1,4100.95
Basaveshwara Nagar,1200.0,2,2,65.0,2,5416.67
Other,1350.0,2,0,140.0,3,10370.37
Bommasandra,1260.0,3,1,49.36,3,3917.46
Other,1800.0,3,0,150.0,3,8333.33
Ardendale,1100.0,2,1,43.25,2,3931.82
Harlur,1508.0,2,1,77.0,2,5106.1
Other,1592.0,3,2,75.0,3,4711.06
Akshaya Nagar,1388.0,2,3,57.0,2,4106.63
Electronic City Phase II,630.0,1,1,28.35,1,4500.0
Other,2000.0,3,2,365.0,3,18250.0
Other,1762.0,3,1,125.0,3,7094.21
Other,950.0,2,2,50.0,2,5263.16
Kodihalli,3252.0,5,3,335.0,4,10301.35
Magadi Road,1116.0,2,1,50.0,2,4480.29
Narayanapura,1308.0,2,2,89.04,2,6807.34
Other,1200.0,3,0,90.0,3,7500.0
Other,1500.0,4,2,230.0,4,15333.33
Bannerghatta Road,500.0,1,1,18.5,1,3700.0
Hennur,1075.0,2,1,52.0,2,4837.21
Chandapura,530.0,1,0,11.66,1,2200.0
Bellandur,1205.0,2,3,66.0,2,5477.18
5th Phase JP Nagar,1075.0,2,2,60.0,2,5581.4
KR Puram,930.0,2,2,39.0,2,4193.55
Balagere,1380.0,2,1,60.0,2,4347.83
Hebbal,2483.0,5,2,212.0,4,8538.06
Kodigehaali,1166.0,2,2,55.0,2,4716.98
Bannerghatta Road,1050.0,2,1,65.0,2,6190.48
Other,2023.71,3,2,275.0,3,13588.9
Begur Road,1200.0,2,2,46.8,2,3900.0
Lakshminarayana Pura,1600.0,2,1,108.0,3,6750.0
Billekahalli,1935.0,3,2,110.0,3,5684.75
8th Phase JP Nagar,451.0,1,0,29.9,1,6629.71
Electronic City,1800.0,3,2,95.0,3,5277.78
Jalahalli,1400.0,3,0,77.0,3,5500.0
Hegde Nagar,1801.0,3,2,115.0,3,6385.34
Mahadevpura,1451.0,2,2,90.0,2,6202.62
Anekal,1200.0,1,1,36.0,2,3000.0
Begur Road,1160.0,2,2,44.0,2,3793.1
Kengeri,1000.0,2,1,25.0,2,2500.0
Kanakpura Road,950.0,2,1,40.0,2,4210.53
Other,1629.0,3,2,79.0,3,4849.6
Vijayanagar,1580.0,2,0,134.0,3,8481.01
Vijayanagar,1826.0,3,2,121.0,3,6626.51
7th Phase JP Nagar,1245.0,2,1,94.0,2,7550.2
Raja Rajeshwari Nagar,1145.0,2,2,45.79,2,3999.13
Sompura,825.0,2,1,33.0,2,4000.0
Yeshwanthpur,1693.0,3,3,108.0,3,6379.21
Electronics City Phase 1,1113.27,2,2,53.0,2,4760.75
Other,1460.0,2,1,58.0,2,3972.6
Doddathoguru,1050.0,2,1,32.0,2,3047.62
Dodda Nekkundi,1260.0,2,2,55.0,2,4365.08
Hosur Road,1656.0,2,1,120.0,2,7246.38
Chandapura,1208.0,3,1,45.0,3,3725.17
Whitefield,1910.0,3,2,161.0,3,8429.32
Whitefield,3252.0,4,1,230.0,4,7072.57
Battarahalli,1200.0,2,1,65.0,2,5416.67
Other,1200.0,4,1,175.0,4,14583.33
7th Phase JP Nagar,1175.0,2,1,82.0,2,6978.72
Other,1000.0,2,0,165.0,2,16500.0
Bannerghatta Road,1200.0,2,0,125.0,4,10416.67
Rajaji Nagar,2390.0,3,2,410.0,3,17154.81
Rajaji Nagar,12000.0,6,3,2200.0,7,18333.33
Other,1185.0,2,2,38.0,2,3206.75
Kengeri,750.0,2,1,38.0,2,5066.67
Kanakpura Road,1550.0,3,3,64.5,3,4161.29
Other,1760.0,3,2,88.0,3,5000.0
Billekahalli,1125.0,2,2,62.0,2,5511.11
Nagarbhavi,1350.0,3,2,150.0,3,11111.11
Anandapura,1000.0,2,1,55.0,2,5500.0
Bommasandra Industrial Area,1090.0,2,2,31.48,2,2888.07
TC Palaya,1200.0,2,0,60.0,2,5000.0
Budigere,1991.0,4,2,103.0,3,5173.28
Bommasandra,1060.0,2,1,26.5,2,2500.0
Ambalipura,1105.0,2,1,75.0,2,6787.33
Hoodi,985.0,2,2,67.0,2,6802.03
Balagere,1590.0,3,2,79.0,3,4968.55
CV Raman Nagar,1120.0,2,2,55.0,2,4910.71
Other,1069.0,2,1,55.0,2,5145.0
Marathahalli,1933.0,3,2,140.0,3,7242.63
Hosur Road,1194.0,2,0,69.0,2,5778.89
Brookefield,1150.0,2,3,69.0,2,6000.0
Yelenahalli,1240.0,2,2,47.12,2,3800.0
Raja Rajeshwari Nagar,1419.0,2,2,48.1,2,3389.71
Other,2150.0,4,2,240.0,3,11162.79
Other,1450.0,3,2,55.0,3,3793.1
Other,1630.0,3,2,68.29,3,4189.57
Dasanapura,708.0,1,1,40.0,2,5649.72
Kasavanhalli,1000.0,4,3,110.0,3,11000.0
Whitefield,11890.0,4,3,700.0,4,5887.3
Bellandur,1250.0,2,1,76.0,2,6080.0
7th Phase JP Nagar,1400.0,2,1,95.0,3,6785.71
Sarjapur  Road,1670.0,2,3,57.0,3,3413.17
Ardendale,1750.0,3,2,100.0,3,5714.29
Vittasandra,1404.0,2,1,71.0,2,5056.98
Hoodi,1715.0,2,2,95.0,3,5539.36
Electronic City,630.0,1,1,34.65,1,5500.0
Harlur,1752.12,3,2,135.0,3,7704.95
Hulimavu,1650.0,3,2,78.0,3,4727.27
Raja Rajeshwari Nagar,1295.0,2,1,55.47,2,4283.4
Giri Nagar,1800.0,3,2,252.0,3,14000.0
Sarjapur  Road,1346.0,2,1,74.03,2,5500.0
Other,1200.0,4,2,200.0,4,16666.67
Hormavu,1150.0,2,2,55.0,2,4782.61
Other,3309.0,4,3,325.0,4,9821.7
Chandapura,1190.0,2,2,30.35,3,2550.42
AECS Layout,1620.0,3,2,98.0,3,6049.38
Marathahalli,950.0,2,1,46.96,2,4943.16
Other,5000.0,9,3,360.0,11,7200.0
Harlur,2450.0,3,0,120.0,3,4897.96
Electronic City Phase II,1220.0,2,1,35.23,3,2887.7
Other,850.0,2,1,30.0,2,3529.41
Padmanabhanagar,1020.0,2,2,63.0,2,6176.47
Chikkalasandra,1100.0,2,2,50.0,2,4545.45
Other,1150.0,2,2,126.0,2,10956.52
Hebbal,1760.0,2,2,130.0,3,7386.36
Ambalipura,1800.0,3,3,110.0,3,6111.11
Akshaya Nagar,1070.0,2,1,54.0,2,5046.73
2nd Stage Nagarbhavi,1500.0,4,2,220.0,4,14666.67
Vidyaranyapura,1440.0,2,0,95.0,2,6597.22
Amruthahalli,900.0,2,1,40.0,2,4444.44
Other,1200.0,4,1,230.0,4,19166.67
Whitefield,1130.0,2,1,42.16,2,3730.97
Koramangala,1320.0,2,1,165.0,2,12500.0
Kodigehalli,1270.0,2,1,98.0,2,7716.54
Other,1200.0,2,1,62.0,2,5166.67
Other,4800.0,4,2,235.0,4,4895.83
Other,1200.0,2,1,74.0,2,6166.67
Subramanyapura,929.0,2,0,50.17,2,5400.43
Other,1464.0,3,2,56.0,3,3825.14
7th Phase JP Nagar,3600.0,4,3,400.0,4,11111.11
Other,2000.0,4,2,99.0,4,4950.0
Chikkalasandra,1208.0,2,1,49.0,2,4056.29
Hebbal Kempapura,1130.0,2,2,60.0,2,5309.73
Other,1753.0,3,2,120.0,3,6845.41
Hoodi,1196.0,2,2,94.42,2,7894.65
5th Phase JP Nagar,1150.0,3,3,52.5,2,4565.22
Electronic City,1128.0,2,1,63.0,2,5585.11
Other,1000.0,2,1,53.0,2,5300.0
Yelahanka,1035.0,2,1,45.0,2,4347.83
Kereguddadahalli,950.0,2,1,32.0,2,3368.42
Bisuvanahalli,1075.0,2,1,36.0,3,3348.84
Whitefield,1040.0,2,1,48.5,2,4663.46
Other,720.0,2,1,45.0,2,6250.0
Lingadheeranahalli,1511.0,3,1,95.0,3,6287.23
Other,1300.0,3,1,58.0,3,4461.54
Hoodi,1545.0,3,1,68.75,3,4449.84
Shampura,375.0,2,0,26.0,1,6933.33
Vidyaranyapura,1062.0,2,3,38.0,2,3578.15
Other,1115.0,2,1,40.0,2,3587.44
JP Nagar,1000.0,2,1,35.0,2,3500.0
Kambipura,883.0,2,1,45.0,2,5096.26
Sarjapur  Road,1195.0,2,1,70.0,2,5857.74
Other,1200.0,3,1,165.0,4,13750.0
Other,700.0,1,0,41.0,1,5857.14
Vittasandra,1246.0,2,1,67.0,2,5377.21
Banashankari Stage III,8500.0,4,2,145.0,4,1705.88
Other,1600.0,4,1,80.0,4,5000.0
Haralur Road,2805.0,5,3,154.0,4,5490.2
Begur Road,1584.0,3,2,65.0,3,4103.54
Sector 7 HSR Layout,3000.0,5,1,275.0,4,9166.67
Hosur Road,1175.0,2,2,48.0,3,4085.11
Other,1595.0,3,2,115.0,3,7210.03
Other,1353.0,2,2,110.0,2,8130.08
Electronic City,1599.0,3,2,125.0,3,7817.39
Whitefield,1150.0,2,1,70.0,2,6086.96
KR Puram,1155.0,2,2,42.74,2,3700.43
Other,1200.0,2,0,85.0,1,7083.33
Electronic City Phase II,1000.0,2,1,25.0,2,2500.0
Thanisandra,3000.0,4,2,120.0,4,4000.0
Rajiv Nagar,1867.0,3,1,160.0,3,8569.9
Ramagondanahalli,1251.0,2,1,47.0,2,3756.99
Other,1028.0,2,1,45.5,2,4426.07
Arekere,1222.0,2,2,45.0,2,3682.49
Bannerghatta Road,1170.0,2,1,66.0,3,5641.03
Hebbal,2400.0,4,1,245.0,3,10208.33
Other,1385.0,2,2,48.48,3,3500.36
HSR Layout,1372.0,2,1,68.0,2,4956.27
Magadi Road,1282.0,2,2,49.0,3,3822.15
Mico Layout,5000.0,9,3,210.0,9,4200.0
Other,3000.0,3,1,528.0,5,17600.0
Kanakpura Road,1135.0,2,1,39.73,2,3500.44
Whitefield,1768.0,3,2,101.0,3,5712.67
Other,1325.0,2,1,90.0,3,6792.45
Electronic City,1599.0,3,2,99.0,3,6191.37
Whitefield,1500.0,3,1,61.95,3,4130.0
Other,2610.0,3,0,499.0,3,19118.77
Uttarahalli,1286.0,2,2,63.0,2,4898.91
Kammanahalli,2845.0,5,1,140.0,5,4920.91
Other,1600.0,2,2,50.0,3,3125.0
Hennur Road,1317.5,2,0,63.77,2,4840.23
Munnekollal,1102.0,2,2,53.67,2,4870.24
Yelahanka,1350.0,2,2,54.0,2,4000.0
Banashankari,1200.0,2,2,42.0,3,3500.0
Other,1800.0,1,1,80.0,2,4444.44
Chikkabanavar,950.0,2,1,40.0,2,4210.53
Kanakpura Road,525.0,1,1,27.25,1,5190.48
Attibele,656.0,2,1,25.0,2,3810.98
